artist,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2022 January
Front Line Assembly,,,,,8,,,,
SNK Sound Team,,,,40,72,,,,
Tangerine Dream,,,,,1,,,,
The Stone Roses,,,,,1,,,,
Invisible,,,,,1,,,,
Curtis Mayfield,,,,,2,,,,
Novos Baianos,,,,,1,,,,
Underworld,21,,,,22,,,,
Television,,,,,1,,,,
The Avalanches,,,1,,2,,,,
Slint,,,,2,3,,,,
Marvin Gaye,,,,,1,,,,
Jimi Hendrix,,,,,1,,,,
Chase Ceglie,,,,,1,,,,
Almendra,,,,17,37,,,,
Tai Verdes,,,,,2,,,,
Wilco,,,,,2,,,,
Laserdance,,,,,9,,,,
Harry Nilsson,,,,,5,,,,
Dorian Electra,,,,1,12,,,,
小島麻由美,,,,,10,,,,
The Bodines,,,,1,3,,,,
Bladee,13,26,,56,57,,,,
"Crosby, Stills, Nash & Young",,,,,1,,,,
Spacemen 3,,,45,46,52,,,,
Disco Inferno,,,,1,133,,,,
Isaac Hayes,,,,,8,,,,
Dionne Warwick,,,5,6,7,,,,
Wilson Pickett,,,,,1,,,,
Silver Apples,,,,,1,,,,
Modest Mouse,,,2,,3,,,,
Volume 10,,,,,1,,,,
Rage Against the Machine,,,,,1,,,,
The Replacements,,,,,1,,,,
Lorde,,4,,,6,,,,
Frank Sinatra,,,,,2,,,,
Scott Bradlee's Postmodern Jukebox,,,,,1,,,,
Billy Paul,,,,,1,,,,
Bill Withers,,,,,1,,,,
Ike & Tina Turner,,,,,1,,,,
Thelma Houston,,,,,2,,,,
Donna Summer,,,,,1,,,,
Cowboy Junkies,,,2,,3,,,,
The Cardigans,,,,17,24,,,,
Miles Davis,,,,,1,,,,
Creedence Clearwater Revival,,,,,1,,,,
Toots and The Maytals,,,,,2,,,,
Os Mutantes,,,,,1,,,,
The Fall,,,,,1,,,,
The Jam,,,,14,15,,,,
The Rezillos,,,,,1,,,,
The Slits,,,,,1,,,,
Colin Newman,,,,,3,,,,
Syd Barrett,,,,,1,,,,
Black Sabbath,,,,,1,,,,
Go Sailor,19,,21,,37,,,,
Roy Harper,,,,,1,,,,
The Clientele,,,,,1,,,,
Drive Like Jehu,,,,,1,,,,
The Byrds,,,,,1,,,,
The Youngbloods,,,,,1,,,,
Paul Revere & The Raiders,,,,,1,,,,
The Bobby Fuller Four,,,,,1,,,,
The Wedding Present,,19,52,54,58,,,,
The Hollies,,,,,1,,,,
James Chance & The Contortions,,7,,,8,,,,
The Bangles,,,,,1,,,,
Sematary,,,,,7,,,,
Eiko Ishibashi,,,,,9,,,,
The Chameleons,,,,,15,,,,
The Flaming Lips,,12,,,26,,,,
Miley Cyrus,,,,2,3,,,,
Gorillaz,,,,,2,,,,
Pandora,,,,,1,,,,
Metro Area,,,,,1,,,,
StayC,,,,1,21,,,,
The Isley Brothers,,3,,,4,,,,
Daft Punk,,,2,,19,,,,
Radiohead,,,,,9,,,,
Gas,,,,,7,,,,
Close Lobsters,,,11,17,27,,,,
Stars of the Lid,,,,,10,,,,
Fiona Apple,47,88,91,92,94,,,,
The Human League,,,,,22,,,,
Nico,,,,,8,,,,
Echo & the Bunnymen,,,,,2,,,,
Molchat Doma,,,,,4,,,,
My Life with the Thrill Kill Kult,,,,,3,,,,
King Krule,,,,,1,,,,
Ansome,,,,,1,,,,
Cleaners From Venus,,,,5,6,,,,
Throbbing Gristle,,,,13,16,,,,
Liaisons Dangereuses,,,,,1,,,,
Lady Gaga,,2,,4,6,,,,
Electric Wizard,,,,12,19,,,,
Lightning Bug,,,,,2,,,,
Pescado Rabioso,,,,11,18,,,,
Carissa's Wierd,,,,,12,,,,
The Orchids,,,,8,,,,,
The Golden Dawn,,,,1,,,,,
Action Painting,,,,4,,,,,
HORSE the band,,,,1,,,,,
Muse,,,,1,,,,,
Portraits of Past,14,36,,37,,,,,
Draconian,,,,1,,,,,
Mastodon,,,1,3,,,,,
Pansy Division,,,,2,,,,,
Death in June,,,,11,,,,,
The Arms of Someone New,,,,2,,,,,
缺省,,,,1,,,,,
The Pax Cecilia,,,,1,,,,,
Boyracer,,,,2,,,,,
G.I.S.M.,,,,1,,,,,
P.M. Dawn,,,,1,,,,,
Michael Bolton,,,,1,,,,,
Karyn White,,,,1,,,,,
Marky Mark and The Funky Bunch,,,,1,,,,,
Color Me Badd,,,,1,,,,,
Paula Abdul,,,,2,,,,,
EMF,,,,1,,,,,
Extreme,,,,1,,,,,
Hi-Five,,,,1,,,,,
Roxette,,,,1,,,,,
Amy Grant,,,,1,,,,,
Wilson Phillips,,,,2,,,,,
Londonbeat,,,,1,,,,,
Gloria Estefan,,,,1,,,,,
Timmy T,,,,1,,,,,
C+C Music Factory,,,,1,,,,,
Surface,,,,1,,,,,
Stevie B,,,,1,,,,,
Vanilla Ice,,,,1,,,,,
James Ingram,,,,1,,,,,
George Michael,21,,,22,,,,,
Maxi Priest,,,,1,,,,,
Nelson,,,,1,,,,,
Jon Bon Jovi,,,,1,,,,,
Idaho,,,,10,,,,,
Placebo,,,,2,,,,,
Cam’ron,,,8,9,,,,,
Lil' Wayne,,,,1,,,,,
Lil Wayne,,,,3,,,,,
DAHYUN & CHAEYOUNG,,,,6,,,,,
Rain,,,,1,,,,,
Scraping Foetus Off The Wheel,,,,2,,,,,
Rain(비),,,,1,,,,,
DeepChord presents Echospace,,,,9,,,,,
Camel,,,,1,,,,,
Rx Bandits,,,,1,,,,,
Focus,,,,1,,,,,
Led Zeppelin,,,,3,,,,,
Jay Dee,,17,,29,,,,,
Dahyun and chaeyoung,,,,1,,,,,
Train,,,,1,,,,,
Beverly Glenn-Copeland,,,,2,,,,,
Single Mothers,,,,10,,,,,
Van Halen,,,,36,,,,,
Lil Yachty,,,,1,,,,,
CHUNG HA,,,,3,,,,,
The Kinks,,,2,5,,,,,
Usher,,,,2,,,,,
Beyoncé,,,,10,,,,,
King Geedorah,,,,13,,,,,
Gang Gang Dance,,,16,17,,,,,
Captain Beefheart & His Magic Band,,,1,29,,,,,
The Mars Volta,,,,3,,,,,
Rush,,,,17,,,,,
YAMANTAKA // SONIC TITAN,,,,1,,,,,
The Dear Hunter,,,,1,,,,,
Red Vox,,,,1,,,,,
Oceansize,,,,1,,,,,
Porcupine Tree,,,,4,,,,,
Genesis,,,,1,,,,,
Gospel,,,,1,,,,,
Tuxedomoon,,,,10,,,,,
Funkadelic,,,,27,,,,,
Nelly,,,,2,,,,,
Robbie Basho,,,,34,,,,,
Akon,,,,1,,,,,
Christina Milian,,,,1,,,,,
Raven-Symoné,,,,2,,,,,
Lindsay Lohan,,,,1,,,,,
Rainbow,,,,18,,,,,
Buzzcocks,,,,37,,,,,
X-Ray Spex,,,,30,,,,,
The Red Krayola,,,,15,,,,,
The Chainsmokers,,,,1,,,,,
Chic,,,,13,,,,,
Camp Lo,,,,8,,,,,
Sun Ra,,,,11,,,,,
Magazine,,,,31,,,,,
The Residents,,,,46,,,,,
Eminem,,,,2,,,,,
B.o.B,,,,1,,,,,
Rihanna,,,,3,,,,,
Taio Cruz,,,,1,,,,,
Black Eyed Peas,,,,3,,,,,
Ke$ha,,,,1,,,,,
JAY-Z,17,,,18,,,,,
Jason Derülo,,,,1,,,,,
Owl City,,,,1,,,,,
Jay Sean,,,,1,,,,,
Flo Rida,,,,1,,,,,
Kelly Clarkson,,,,1,,,,,
T.I.,,,,2,,,,,
P!nk,,,,1,,,,,
Leona Lewis,,,,1,,,,,
Built to Spill,,,2,3,,,,,
Bruce Springsteen,,,,31,,,,,
Kraftwerk,,,,16,,,,,
Ann Peebles,,,,5,,,,,
Steve Reich,,,,6,,,,,
LINGUA IGNOTA,,,,3,,,,,
Lingua Ignota,,,,13,,,,,
火箭少女101,,,,2,,,,,
Eno,,,,18,,,,,
Sephi,,,,1,,,,,
Ecco2K,7,12,16,19,,,,,
Ecco2k,16,28,37,43,,,,,
Lil B,,,,5,,,,,
Clams Casino,,,,2,,,,,
Rosa Yemen,,,,6,,,,,
Elvis Costello & The Attractions,,,,13,,,,,
Devo,,,,32,,,,,
The Cars,,,,20,,,,,
Blondie,,,,27,,,,,
The Home Depot,,,,1,,,,,
THEESatisfaction,,,,1,,,,,
Unrest,,,,1,,,,,
blink-182,,,,2,,,,,
Mr. Lif,,,,4,,,,,
Can,,,1,3,,,,,
La Toya Jackson,1,,,2,,,,,
Jolin Tsai,,,,1,,,,,
SUNMI,,,,1,,,,,
ITZY,,,,9,,,,,
VilloVilduVeta,,,,10,,,,,
Isaiah Rashad,,,,5,,,,,
Fishmans,,,2,3,,,,,
Common,,,11,12,,,,,
Deltron 3030,1,,,20,,,,,
OutKast,16,,,36,,,,,
Laura Nyro,,,,18,,,,,
Laurel Halo,,,15,27,,,,,
Super Mario 64,28,,33,41,,,,,
Fields of the Nephilim,,,8,9,,,,,
Betty Davis,,,,4,,,,,
Karate,,,,9,,,,,
Yo La Tengo,,,,8,,,,,
The Tornados,,,1,2,,,,,
Crazy Town,,,,1,,,,,
Shaggy,,,,1,,,,,
Mission of Burma,,,17,,,,,,
Flipper,,,14,,,,,,
So this happened... (1,,,1,,,,,,
Laurie Anderson,,,1,,,,,,
LCD Soundsystem,,,2,,,,,,
Dexys Midnight Runners,,,2,,,,,,
The Clash,,,1,,,,,,
M.I.A.,,,2,,,,,,
a-ha,,,2,,,,,,
Prince Paul,,,1,,,,,,
DaBaby,,,2,,,,,,
Gravediggaz,,,2,,,,,,
Steely Dan,,,2,,,,,,
Dream,,,1,,,,,,
The Cannanes,,,39,,,,,,
Kelela,,,2,,,,,,
Circulatory System,,,22,,,,,,
Bob The Drag Queen & Thorgy | Purse First Impressions | RPDR All,,,1,,,,,,
Fatlip,,,1,,,,,,
Isis,,,3,,,,,,
Sun City Girls,1,,24,,,,,,
Dean Blunt,,,13,,,,,,
Doseone,,,5,,,,,,
Luomo,12,,13,,,,,,
Normani,,,1,,,,,,
MC5,,,2,,,,,,
Tramp Stamps,,,7,,,,,,
The Mamas & the Papas,,,1,,,,,,
Mobb Deep,16,18,19,,,,,,
Lil Mariko,,,1,,,,,,
Biz Markie,,,1,,,,,,
Elbow,,,2,,,,,,
Fehlfarben,,,2,,,,,,
The Beths,,,2,,,,,,
Interpol,,,2,,,,,,
Jens Lekman,,,2,,,,,,
The Armed,,,2,,,,,,
T-Pain,,,1,,,,,,
Thompson Twins,,,1,,,,,,
Mars Accelerator,,,11,,,,,,
Sam Cooke,,,3,,,,,,
The Sonics,,,1,,,,,,
The Smashing Pumpkins,,,1,,,,,,
Mojave 3,,,2,,,,,,
Imogen Heap,,,2,,,,,,
Pram,,,2,,,,,,
Goat Girl,,,2,,,,,,
The Moody Blues,,,1,,,,,,
Emmylou Harris,,5,7,,,,,,
Smog,,,2,,,,,,
Martha Reeves & The Vandellas,,,1,,,,,,
NEU!,,,2,,,,,,
Kendrick Lamar,,,2,,,,,,
Travis Scott,,,1,,,,,,
Tame Impala,,,1,,,,,,
Hop Along,,,2,,,,,,
DJ Shadow,11,,13,,,,,,
Jamie xx,,,2,,,,,,
David Thomas Broughton,,,2,,,,,,
Dumbo Gets Mad,,,2,,,,,,
iamamiwhoami,,,15,,,,,,
Alice Coltrane,,,1,,,,,,
Goat,,,2,,,,,,
Beirut,,,1,,,,,,
Caetano Veloso,,,2,,,,,,
The Shins,,,2,,,,,,
Chuck Sutton,,,1,,,,,,
Javier Ortiz,,,1,,,,,,
Charles Mingus,,,4,,,,,,
Busta Rhymes,,,1,,,,,,
The White Stripes,,,1,,,,,,
Masters at Work,,1,2,,,,,,
Ween,,,16,,,,,,
Nevermen,,,1,,,,,,
SBTRKT,,,2,,,,,,
together PANGEA,,,1,,,,,,
Moderat,,,2,,,,,,
Rodrigo y Gabriela,,,1,,,,,,
Blackstreet,,,1,,,,,,
A. G. Cook,,,1,,,,,,
宇多田ヒカル,,,1,,,,,,
Sheena Ringo,,,2,,,,,,
Amaarae,,1,,,,,,,
Depressive Silence,,4,,,,,,,
videogamedunkey,,1,,,,,,,
Helvetia,,1,,,,,,,
SmallAnt,,1,,,,,,,
Biosphere,,9,,,,,,,
Pink Floyd,,1,,,,,,,
The Jacksons,,1,,,,,,,
Gwen Guthrie,,1,,,,,,,
Azusa Chiba,,2,,,,,,,
Yoshimi Kudo,,2,,,,,,,
Mitsuhiro Kaneda,,1,,,,,,,
DOB,,12,,,,,,,
The Verlaines,,2,,,,,,,
Towa Tei,,1,,,,,,,
The Roots,67,73,,,,,,,
SM,,1,,,,,,,
Years & Years,,1,,,,,,,
The Loud Family,,15,,,,,,,
KMD,,10,,,,,,,
The Future Sound of London,,5,,,,,,,
Eels,,16,,,,,,,
Tortoise,,9,,,,,,,
Type O Negative,,1,,,,,,,
Texas Is the Reason,,20,,,,,,,
Bimini,,1,,,,,,,
Windy & Carl,,7,,,,,,,
Lilys,,13,,,,,,,
16 Horsepower,20,34,,,,,,,
KATYA,1,,,,,,,,
Sex Pistols,14,,,,,,,,
Action 52 (NES),1,,,,,,,,
Slowdrive,2,,,,,,,,
Christie Front Drive,12,,,,,,,,
Ray J,1,,,,,,,,
BTS,1,,,,,,,,
The Brian Jonestown Massacre,59,,,,,,,,
Milli Vanilli,3,,,,,,,,
Black Tape for a Blue Girl,9,,,,,,,,
Swans,26,,,,,,,,
The Backyardigans,1,,,,,,,,
Company Flow,1,,,,,,,,
Do All 5th Graders Think the Same?,1,,,,,,,,
Suede,25,,,,,,,,
Burzum,12,,,,,,,,
N.O.D.,8,,,,,,,,
Claire Saffitz Makes Cheesecake,1,,,,,,,,
bloodthirsty butchers,18,,,,,,,,
Rollerskate Skinny,34,,,,,,,,
戸高一生,33,,,,,,,,
Kingpin Skinny Pimp,23,,,,,,,,
Dr. Octagon,19,,,,,,,,
Ride,2,,,,,,,,
Arc System Works,3,,,,,,,,
Porter Ricks,18,,,,,,,,
Manic Street Preachers,45,,,,,,,,
Rocketship,8,,,,,,,,
Steve Earle,22,,,,,,,,
Lush,20,,,,,,,,
Fugees,26,,,,,,,,
Angry Video Game Nerd,1,,,,,,,,
ASMR,1,,,,,,,,
Weezer,25,,,,,,,,
Bishop Allen,1,,,,,,,,
Brainiac,13,,,,,,,,
Squid,26,,,,,,,,
Rachel Grimes,24,,,,,,,,
OSSC,1,,,,,,,,
Beck,7,,,,,,,,
Boards of Canada,9,,,,,,,,
Propagandhi,14,,,,,,,,
His Name Is Alive,27,,,,,,,,
Nick Cave & The Bad Seeds,2,,,,,,,,
Cascada,1,,,,,,,,
R3hab,1,,,,,,,,
Gangsta Blac,1,,,,,,,,
Protomartyr,19,,,,,,,,
"Black Country, New Road",6,,,,,,,,
FlygonHG,1,,,,,,,,
The New Power Generation,1,,,,,,,,
